id_releve,x_l93,y_l93,x_UTM32N,y_UTM32N
10971299,968867,6432026,295572,4979017
10971300,968559,6432230,295280,4979243
10971301,968653,6431903,295349,4978910
10971302,969241,6431693,295920,4978656
10971303,968785,6431645,295462,4978643
10971304,968961,6431449,295622,4978434
10971305,969217,6431727,295899,4978692
10971306,968545,6432264,295269,4979278
10971307,968643,6432054,295351,4979061
10971308,968917,6431956,295617,4978943
10971309,968518,6432287,295243,4979303
10971310,969309,6432074,296017,4979031
10971311,968917,6431851,295609,4978838
10971312,969182,6431906,295877,4978873
10971313,968604,6432192,295322,4979202
10971314,968589,6432057,295297,4979069
10971315,968748,6432064,295456,4979064
10971316,968524,6432358,295255,4979374
10971317,968938,6431457,295600,4978444
10971318,968544,6432284,295269,4979298
10971319,968536,6432269,295260,4979284
10971320,968671,6431899,295367,4978905
10971321,968948,6431492,295613,4978478
10971322,969110,6432152,295824,4979124
10971323,968877,6431834,295568,4978824
10971324,968823,6431800,295511,4978795
10971325,968793,6431860,295486,4978857
10971326,968587,6432140,295301,4979152
10971327,968527,6432309,295254,4979325
10971328,968806,6432023,295511,4979018
10971329,968551,6432274,295275,4979288
10971330,969296,6431943,295994,4978902
10971331,968632,6432090,295342,4979098
10971332,968764,6431896,295459,4978895
10971333,968832,6431686,295512,4978680
10971334,968810,6431895,295505,4978890
10971335,968651,6432013,295355,4979020
10971336,968670,6432000,295373,4979006
10971337,968555,6432149,295270,4979163
10971338,969189,6431996,295891,4978963
10971339,968660,6432001,295364,4979007
10971340,968914,6431604,295587,4978592
10971341,968887,6431546,295556,4978536
10971342,968721,6431958,295421,4978960
10971343,968694,6431994,295397,4978998
10971344,968862,6431583,295534,4978575
10971345,968615,6432004,295319,4979014
10971347,969245,6432121,295956,4979083
10971348,969254,6431845,295945,4978807
12117792,1014744,6552636,350454,5095912
12117800,1014709,6552615,350418,5095894
12117804,1014720,6552637,350431,5095915
12117808,1014701,6552641,350412,5095921
12117811,1014766,6552637,350476,5095912
12117848,1014788,6552640,350499,5095913
12117852,1014800,6552657,350512,5095929
12117899,1014838,6552576,350544,5095845
12117901,1014847,6552608,350555,5095877
12117905,1014881,6552624,350590,5095890
12117906,1014900,6552630,350610,5095895
12117908,1014894,6552599,350601,5095864
12117909,1014905,6552671,350618,5095935
12117923,1014726,6552619,350435,5095897
12117924,1014729,6552594,350436,5095872
12117926,1014753,6552610,350461,5095886
12117927,1014774,6552605,350482,5095879
12117928,1014755,6552589,350462,5095865
12117930,1014798,6552582,350504,5095854
12117932,1014824,6552550,350528,5095821
12117934,1014800,6552630,350510,5095902
12117937,1014805,6552613,350514,5095885
12117938,1014835,6552598,350542,5095868
12117939,1014848,6552635,350558,5095904
12118011,1014871,6552640,350581,5095907
12118012,1014879,6552664,350591,5095930
12118013,1014888,6552645,350599,5095911
12118014,1014874,6552668,350587,5095935
12118015,1014865,6552692,350579,5095959
12118025,1014932,6552591,350639,5095853
12118027,1014984,6552642,350694,5095900
12118028,1014937,6552694,350651,5095956
12118051,1015006,6552686,350720,5095942
12123258,1015021,6552654,350732,5095909
12123260,1015042,6552664,350754,5095918
12123261,1015031,6552734,350748,5095988
12123269,1014924,6552605,350632,5095868
12123271,1014952,6552619,350661,5095880
12123272,1014918,6552672,350631,5095935
12123275,1014916,6552711,350632,5095974
12123299,1014987,6552710,350703,5095968
12123300,1015024,6552704,350739,5095959
12123302,1015051,6552685,350765,5095938
12123303,1015059,6552714,350775,5095966
12123312,1015238,6552442,350933,5095681
12123315,1015218,6552430,350912,5095671
12123321,1015242,6552402,350934,5095641
12123335,1015395,6552417,351087,5095645
12123345,1015414,6552269,351095,5095495
12123347,1015404,6552496,351102,5095723
12123348,1015378,6552379,351068,5095608
12123350,1015347,6552323,351032,5095554
12126989,984060,6474171,313904,5019930
12126990,984046,6474196,313892,5019956
12126991,984017,6474204,313863,5019966
12126993,983855,6474366,313714,5020140
12126994,984222,6473811,314038,5019558
12126995,984143,6474075,313980,5019828
12126997,984198,6473924,314023,5019673
12126998,984234,6473791,314049,5019537
12126999,984171,6473977,314000,5019728
12127007,1005851,6552243,341550,5096194
12127008,1000882,6540529,335704,5084880
12127009,1000687,6540527,335509,5084893
