"","cd_ref","nom_reconnu_ss_auteur","CHOROLOGIE","sexualité","pollinisation","inflorescence","fruit","dissémination","TYPE_BIOLOGIQUE","FORMATION_VEGETALE","CARACT_ECOLOG_HABITAT_OPTI","INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE","SA_CSR","dissemination_compil","pollinisation_compil","famille","nom_valide","tax_type","nbre_obs","annee_min","annee_max"
"71",90076,"Cerastium pumilum","européen méridional","hermaphrodite","entomogame","cyme bipare","capsule","anémochore","tver","thérophytaie","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","Brachypodietalia distachyi Rivas-Martínez 1978","rrr","barochore","entomogame","Caryophyllaceae","Cerastium pumilum Curtis, 1777","P",1,2019,2019
"72",90359,"Chaerophyllum villarsii","orophyte alpien","hermaphrodite","entomogame","ombelle d'ombellules","akène","épizoochore","Heri","hémicryptophytaie","mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets","Adenostylion alliariae Braun-Blanquet 1926","ccs","barochore","entomogame","Apiaceae","Chaerophyllum villarsii W.D.J.Koch, 1837","P",1,2019,2019
"73",90863,"Cherleria sedoides","orophyte méridional","gynodioïque","entomogame","cyme bipare","capsule","barochore","hces","hémicryptophytaie","pelouses acidophiles alpines climaciques, chionophobes","Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,NA,NA,"Caryophyllaceae","Cherleria sedoides L., 1753","P",7,2019,2020
"74",91410,"Cirsium spinosissimum","orophyte alpien","hermaphrodite","entomogame, autogame","racème de capitules","akène","anémochore","heri","hémicryptophytaie","mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets","Adenostylion alliariae Braun-Blanquet 1926","ccs","anémochore","entomogame, autogame","Asteraceae","Cirsium spinosissimum (L.) Scop., 1769","P",15,2019,2020
"75",93027,"Crepis conyzifolia","orophyte méridional","hermaphrodite","entomogame, autogame","racème de capitules","akène","anémochore","heri","hémicryptophytaie","pelouses acidophiles ouvertes, alpines, chionophiles, mésohydriques, des ubacs pyrénéens","Festucion eskiae Braun-Blanquet 1948","ccs","anémochore","entomogame, autogame","Asteraceae","Crepis conyzifolia (Gouan) A.Kern., 1872","P",1,2020,2020
"76",94066,"Cystopteris fragilis","cosmopolite","monoïque","hydrogame",NA,NA,"anémochore","hces","hémicryptophytaie",NA,"Cystopteridion fragilis (Nordhagen 1936) Richard 1972","rss","anémochore",NA,"Cystopteridaceae","Cystopteris fragilis (L.) Bernh., 1805","P",14,2019,2020
"77",94207,"Dactylis glomerata","eurasiatique méridional","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","Hces","hémicryptophytaie","prairies mésohydriques, fauchées, planitiaires à montagnardes","Arrhenatheretalia elatioris subsp. elatioris Tüxen 1931","crs","barochore","anémogame","Poaceae","Dactylis glomerata L., 1753","P",1,2019,2019
"78",94266,"Dactylorhiza maculata","eurasiatique septentrional","hermaphrodite","entomogame","épi simple","capsule","anémochore","gtub","hémicryptophytaie","hémicrypto-géophytaies des tourbières médio-européennes à boréo-subalpines","Molinio caeruleae - Caricenea nigrae subsp. nigrae (Julve 1983) de Foucault 1984","crs","anémochore","entomogame","Orchidaceae","Dactylorhiza maculata (L.) Soó, 1962","P",3,2020,2020
"79",95225,"Doronicum grandiflorum","orophyte méridional","hermaphrodite","entomogame","racème de capitules","akène","épizoochore","heri","hémicryptophytaie","grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles","Noccaeetalia rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Seibert in Oberdorfer 1977","ccs","anémochore","entomogame","Asteraceae","Doronicum grandiflorum Lam., 1786","P",10,2020,2020
"80",95356,"Draba siliquosa","orophyte méridional","hermaphrodite","entomogame","racème simple","silique","anémochore","hros","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, européennes occidentales","Caricetalia myosuroidis Oberdorfer 1957","css","barochore","entomogame","Brassicaceae","Draba siliquosa M.Bieb., 1808","P",4,2019,2020
"81",95461,"Dryas octopetala","arctico-alpin","gynodioïque","entomogame, autogame","fleur solitaire latérale","akène","anémochore","csuf","hémicryptophytaie","landines chionophobes basophiles, arctico-alpines, climaciques","Dryadetea octopetalae Julve 2016 cla. nov. hoc loco","crs","anémochore","entomogame, autogame","Rosaceae","Dryas octopetala L., 1753","P",2,2019,2020
"82",95567,"Dryopteris filix-mas","circumboréal","monoïque","hydrogame",NA,NA,"anémochore","Hces","hémicryptophytaie","sous-bois herbacés médio-européens, planitiaires à montagnards","Anemono nemorosae - Caricetea sylvaticae Gillet 1986 em. Julve 1993","ccs","anémochore",NA,"Dryopteridaceae","Dryopteris filix-mas (L.) Schott, 1834","P",18,2019,2020
"83",134095,"Empetrum nigrum subsp. hermaphroditum","arctico-alpin","hermaphrodite","entomogame, anémogame","glomérules","baie","endozoochore","cfru-semp","parvochaméphytaie","landines chionophobes, acidophiles, arctico-alpines, climaciques","Kalmio procumbentis - Vaccinietea uliginosi subsp. microphylli Eggler 1952 ex Schubert 1960","css","endozoochore","entomogame, anémogame","Ericaceae","Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952","P",1,2020,2020
"84",96127,"Epilobium alpestre","orophyte méridional","hermaphrodite","entomogame","racème simple","capsule","anémochore","Heri","hémicryptophytaie","mégaphorbiaies subalpines d'Europe occidentale","Adenostyletalia alliariae G. & J. Braun-Blanquet 1931","ccs","anémochore","entomogame","Onagraceae","Epilobium alpestre (Jacq.) Krock., 1787","P",1,2019,2019
"85",96130,"Epilobium alsinifolium","arctico-alpin","hermaphrodite","autogame","racème simple","capsule","anémochore","hsto","hémicryptophytaie","hémicryptophytaies des sources laurasiennes","Montio fontanae - Cardaminetea amarae Braun-Blanquet & Tüxen 1943","ccs","anémochore","autogame","Onagraceae","Epilobium alsinifolium Vill., 1779","P",7,2019,2020
"86",96134,"Epilobium anagallidifolium","arctico-alpin","hermaphrodite","autogame","racème simple","capsule","anémochore","hsto","hémicryptophytaie","pelouses arctico-alpines climaciques, chionophiles, mésohygrophiles","Salicetea herbaceae Braun-Blanquet 1948","css","anémochore","autogame","Onagraceae","Epilobium anagallidifolium Lam., 1786","P",28,2019,2020
"87",96136,"Epilobium angustifolium","circumboréal","hermaphrodite","entomogame","racème simple","capsule","anémochore","Heri","hémicryptophytaie","mégaphorbiaies pionnières et ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles","Epilobietea angustifolii Tüxen & Preising in Tüxen 1950","ccr","anémochore","entomogame","Onagraceae","Epilobium angustifolium L., 1753","P",8,2019,2020
"88",134114,"Epilobium dodonaei subsp. fleischeri","orophyte alpien","hermaphrodite","entomogame","racème simple","capsule","anémochore","hsto","hémicryptophytaie","grpts vivaces hygrophiles des alluvions grossières orophiles","Epilobion dodonaei subsp. fleischeri Braun-Blanquet in G. & J. Braun-Blanquet 1931","crs","anémochore","entomogame","Onagraceae","Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923","P",93,2019,2020
"89",96163,"Epilobium dodonaei","orophyte alpien","hermaphrodite","entomogame","racème simple","capsule","anémochore","hsto","hémicryptophytaie","grpts vivaces hygrophiles des alluvions grossières orophiles","Epilobion dodonaei subsp. fleischeri Braun-Blanquet in G. & J. Braun-Blanquet 1931",NA,"anémochore","entomogame","Onagraceae","Epilobium dodonaei Vill., 1779","P",1,2019,2019
"90",96208,"Epilobium montanum","eurasiatique","hermaphrodite","entomogame, autogame","racème simple","capsule","anémochore","heri","hémicryptophytaie","ourlets internes eutrophiles, hémisciaphiles, vernaux","Geo urbani - Brachypodion sylvatici Julve 2019 all. nov. hoc loco","crs","anémochore","entomogame, autogame","Onagraceae","Epilobium montanum L., 1753","P",1,2019,2019
"91",96736,"Erigeron alpinus","européen méridional","hermaphrodite","entomogame, autogame","racème de capitules","akène","anémochore","hros","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","css","anémochore","entomogame, autogame","Asteraceae","Erigeron alpinus L., 1753","P",4,2019,2019
"92",96805,"Erigeron schleicheri","orophyte méridional","hermaphrodite","entomogame, autogame","racème de capitules","akène","anémochore","hros","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines","Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934",NA,"anémochore","entomogame, autogame","Asteraceae","Erigeron schleicheri Gremli, 1886","P",1,2019,2019
"93",96816,"Erigeron uniflorus","arctico-alpin","hermaphrodite","entomogame, autogame","racème de capitules","akène","anémochore","hros","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, holarctiques","Caricetea rupestro - myosuroidis Ohba 1974","css","anémochore","entomogame, autogame","Asteraceae","Erigeron uniflorus L., 1753","P",1,2019,2019
"94",97725,"Euphrasia alpina","orophyte méridional","hermaphrodite","entomogame, autogame","racème d'épis","capsule","anémochore","test-hpar","hémicryptophytaie","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens","Festucion acuminatae Braun-Blanquet 1926","rrs","barochore","entomogame, autogame","Orobanchaceae","Euphrasia alpina Lam., 1786","P",1,2020,2020
"95",97772,"Euphrasia minima","orophyte européen","hermaphrodite","entomogame, autogame","racème d'épis","capsule","anémochore","test-hpar","hémicryptophytaie","pelouses acidophiles alpines climaciques, chionophobes","Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926","rrs","barochore","entomogame, autogame","Orobanchaceae","Euphrasia minima Jacq. ex DC., 1805","P",41,2019,2020
"96",97804,"Euphrasia salisburgensis","orophyte européen","hermaphrodite","entomogame, autogame","racème d'épis","capsule","anémochore","test-hpar","hémicryptophytaie","pelouses basophiles subalpines, alpiennes, mésohydriques","Seslerion caeruleae Braun-Blanquet in Braun-Blanquet & Jenny 1926","rrs","barochore","entomogame, autogame","Orobanchaceae","Euphrasia salisburgensis Funck, 1794","P",12,2019,2019
"97",98039,"Festuca acuminata","orophyte alpien","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens","Festucion acuminatae Braun-Blanquet 1926","ccs","barochore","anémogame","Poaceae","Festuca acuminata Gaudin, 1811","P",11,2019,2020
"98",98054,"Festuca alpina","orophyte méridional","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","grpts vivaces des éboulis basophiles, alpiens, subalpins-alpins, héliophiles","Noccaeion rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Zollitsch 1966","ccs","barochore","anémogame","Poaceae","Festuca alpina Suter, 1802","P",1,2020,2020
"99",98272,"Festuca halleri","orophyte alpien","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925",NA,"épizoochore","anémogame","Poaceae","Festuca halleri All., 1785","P",28,2019,2020
"100",98280,"Festuca heterophylla","européen méridional","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","Hces","hémicryptophytaie","sous-bois herbacés médio-européens, planitiaires à montagnards","Anemono nemorosae - Caricetea sylvaticae Gillet 1986 em. Julve 1993","crs","épizoochore","anémogame","Poaceae","Festuca heterophylla Lam., 1779","P",1,2019,2019
"101",98404,"Festuca nigrescens","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","pelouses acidophiles médio-européennes à boréo-subalpines","Nardetea strictae Rivas Goday & Borja-Carbonell 1961 em. de Foucault 1994","crs","épizoochore","anémogame","Poaceae","Festuca nigrescens Lam., 1788","P",11,2019,2020
"102",98512,"Festuca rubra","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","grhi","hémicryptophytaie","prairies européennes mésotrophiles à eutrophiles","Agrostio stoloniferae - Arrhenatheretea elatioris subsp. elatioris (Tüxen 1937 em. 1970) de Foucault 1984","crs","épizoochore","anémogame","Poaceae","Festuca rubra L., 1753","P",1,2019,2019
"103",98865,"Fragaria vesca","cosmopolite","hermaphrodite","entomogame","cyme bipare","akène","endozoochore","hsto","hémicryptophytaie","ourlets internes des clairières basophiles médio-européennes, mésohydriques","Fragarion vescae Tüxen 1950","crs","endozoochore","entomogame","Rosaceae","Fragaria vesca L., 1753","P",3,2019,2019
"104",99334,"Galeopsis tetrahit","eurasiatique tempéré","hermaphrodite","entomogame, autogame","glomérules","akène","barochore","test","thérophytaie","annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles","Galeopsio tetrahit - Senecionetea sylvatici Passarge 1981 ex de Foucault 2011",NA,"barochore","entomogame, autogame","Lamiaceae","Galeopsis tetrahit L., 1753","P",1,2019,2019
"105",99372,"Galium anisophyllon","orophyte méridional","hermaphrodite","entomogame","cyme d'ombelles","capsule","barochore","hsto","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","ccs","barochore","entomogame","Rubiaceae","Galium anisophyllon Vill., 1779","P",1,2020,2020
"106",99854,"Gentiana acaulis","orophyte méridional","hermaphrodite","entomogame","fleur solitaire terminale","capsule","barochore","heri","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","css","barochore","entomogame","Gentianaceae","Gentiana acaulis L., 1753","P",1,2020,2020
"107",99866,"Gentiana bavarica","orophyte alpien","hermaphrodite","entomogame","fleur solitaire terminale","capsule","barochore","hsto","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidion caeruleae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame","Gentianaceae","Gentiana bavarica L., 1753","P",1,2019,2019
"108",99910,"Gentiana nivalis","arctico-alpin","hermaphrodite","autogame","cyme unipare hélicoïde","capsule","épizoochore","test","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, holarctiques","Caricetea rupestro - myosuroidis Ohba 1974","css","barochore","entomogame","Gentianaceae","Gentiana nivalis L., 1753","P",4,2019,2020
"109",99928,"Gentiana punctata","orophyte méridional","hermaphrodite","entomogame","glomérules","capsule","barochore","hros","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","ccs","barochore","entomogame","Gentianaceae","Gentiana punctata L., 1753","P",1,2019,2019
"110",99982,"Gentianella campestris","européen","hermaphrodite","entomogame","cyme bipare","capsule","barochore","test(hbis)","hémicryptophytaie","pelouses acidophiles médio-européennes, planitiaires-collinéennes","Nardetalia strictae Oberdorfer 1949 em. de Foucault 1994","crs","barochore","entomogame","Gentianaceae","Gentianella campestris (L.) Börner, 1912","P",1,2020,2020
"111",100160,"Geranium sylvaticum","orophyte eurasiatique","hermaphrodite","entomogame","racème de cymes unipares hélicoïdes","capsule","épizoochore","Heri","hémicryptophytaie","mégaphorbiaies boréomontagnardes","Filipendulo ulmariae - Cirsion rivularis de Foucault 1984 em. Passarge 1988","ccs","épizoochore ?","entomogame","Geraniaceae","Geranium sylvaticum L., 1753","P",2,2019,2019
"112",100208,"Geum montanum","orophyte méridional","hermaphrodite","entomogame","cyme unipare hélicoïde","akène","épizoochore","hces","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","ccs","anémochore et épizoochore","entomogame","Rosaceae","Geum montanum L., 1753","P",9,2019,2020
"113",100214,"Geum reptans","orophyte méridional","hermaphrodite","entomogame","cyme unipare hélicoïde","akène","épizoochore","hsto","hémicryptophytaie","grpts vivaces des éboulis médio-européens orophiles, acidophiles","Androsacetalia alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","ccs","anémochore et épizoochore","entomogame","Rosaceae","Geum reptans L., 1753","P",18,2019,2020
"114",100636,"Gymnocarpium dryopteris","circumboréal septentrional","monoïque","hydrogame",NA,NA,"anémochore","grhi","hémicryptophytaie","sous-bois herbacés acidophiles, boréomontagnards à centro-européens, psychrophiles","Luzulion luzuloidis Julve 1993","css","anémochore",NA,"Cystopteridaceae","Gymnocarpium dryopteris (L.) Newman, 1851","P",2,2019,2019
"115",101394,"Herniaria alpina","orophyte méridional","hermaphrodite","entomogame","glomérules","capsule","barochore","csuf","hémicryptophytaie","pelouses acidophiles alpines climaciques, chionophobes","Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame","Caryophyllaceae","Herniaria alpina Chaix, 1785","P",1,2020,2020
"116",101755,"Hieracium caesioides","orophyte alpien mérid.","hermaphrodite","apogame",NA,"akène","anémochore","heri","hémicryptophytaie","lithophytes des dalles en pente de falaises basophiles, orophiles","Potentilletalia caulescentis Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","anémochore","apogame","Asteraceae","Hieracium caesioides Arv.-Touv., 1876","P",3,2019,2019
"117",102078,"Hieracium intybaceum","orophyte alpien","hermaphrodite","apogame","racème de capitules","akène","anémochore","heri","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines, alpiennes","Androsacion vandellii Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","anémochore","apogame","Asteraceae","Hieracium intybaceum All., 1773","P",4,2019,2020
"118",102235,"Hieracium murorum","eurasiatique","hermaphrodite","apogame","racème de capitules","akène","anémochore","hros","hémicryptophytaie","ourlets externes acidophiles médio-européens","Melampyro pratensis - Holcetalia mollis Passarge 1967","crs","anémochore","apogame","Asteraceae","Hieracium murorum L., 1753","P",1,2020,2020
"119",102350,"Hieracium piliferum","orophyte méridional","hermaphrodite","apogame","capitule simple","akène","anémochore","hros","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925","css","anémochore","apogame","Asteraceae","Hieracium piliferum Hoppe, 1799","P",2,2019,2020
"120",102701,"Hieracium villosum","orophyte méridional","hermaphrodite","apogame","racème de capitules","akène","anémochore","hros","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","css","anémochore","apogame","Asteraceae","Hieracium villosum Jacq., 1762","P",1,2020,2020
"121",102842,"Hippocrepis comosa","européen méridional","hermaphrodite","entomogame","ombelle simple","gousse","épizoochore","csuf","hémicryptophytaie","pelouses basophiles médio-européennes et nevado-illyriennes","Festuco valesiacae - Bromopsidetea erectae Braun-Blanquet & Tüxen 1943 em. Royer 1987","crs","barochore","entomogame","Fabaceae","Hippocrepis comosa L., 1753","P",1,2020,2020
"122",102925,"Homogyne alpina","orophyte méridional","hermaphrodite","entomogame","capitule simple","akène","anémochore","hsto","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","crs","anémochore","entomogame","Asteraceae","Homogyne alpina (L.) Cass., 1821","P",12,2019,2020
"123",103018,"Hornungia alpina","orophyte méridional","hermaphrodite","entomogame",NA,"silique","barochore","heri","hémicryptophytaie","grpts vivaces des éboulis grossiers de calcaires compacts, montagnards-subalpins, sciaphiles","Arabidion alpinae Béguin 1970",NA,"barochore","entomogame","Brassicaceae","Hornungia alpina (L.) O.Appel, 1997","P",5,2020,2020
"124",103019,"Hornungia petraea","européen méridional","hermaphrodite","entomogame","racème simple","silique","anémochore","tver","thérophytaie","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","Brachypodietalia distachyi Rivas-Martínez 1978",NA,"barochore","entomogame","Brassicaceae","Hornungia petraea (L.) Rchb., 1838","P",3,2019,2020
"125",103034,"Huperzia selago","circumboréal","monoïque","hydrogame",NA,NA,"anémochore","hsto","parvochaméphytaie","landes acidophiles psychrophiles arctico-alpines à boréo-subalpines","Empetretalia nigri subsp. hermaphroditi Schubert 1960","css","anémochore",NA,"Lycopodiaceae","Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829","P",5,2019,2019
"126",103316,"Hypericum perforatum","cosmopolite","hermaphrodite","entomogame, autogame","cyme bipare","capsule","anémochore","heri","hémicryptophytaie","friches vivaces mésoxérophiles européennes","Artemisietalia vulgaris Lohmeyer in Tüxen 1947","crs","barochore","entomogame","Hypericaceae","Hypericum perforatum L., 1753","P",1,2019,2019
"127",103578,"Imperatoria ostruthium","orophyte alpien","hermaphrodite","entomogame","ombelle d'ombellules","akène","anémochore","Heri","hémicryptophytaie","mégaphorbiaies subalpines d'Europe occidentale","Adenostyletalia alliariae G. & J. Braun-Blanquet 1931","ccc","anémochore","entomogame","Apiaceae","Imperatoria ostruthium L., 1753","P",41,2019,2020
"128",610642,"Jacobaea incana","orophyte alpien","hermaphrodite","entomogame, autogame","corymbe de capitules","akène","anémochore","grhi","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925",NA,"anémochore","entomogame, autogame","Asteraceae","Jacobaea incana (L.) Veldkamp, 2006","P",43,2019,2020
"129",104221,"Juncus jacquinii","orophyte alpien","hermaphrodite","anémogame","glomérules","capsule","épizoochore","grhi","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925","ccs","barochore","anémogame","Juncaceae","Juncus jacquinii L., 1767","P",1,2020,2020
"130",104362,"Juncus trifidus","arctico-alpin","hermaphrodite","anémogame","glomérules","capsule","épizoochore","grhi","hémicryptophytaie","pelouses acidophiles arctico-alpines climaciques, chionophobes","Caricetea curvulae subsp. curvulae Braun-Blanquet 1948","css","barochore","anémogame","Juncaceae","Juncus trifidus L., 1753","P",12,2019,2020
"131",104397,"Juniperus communis","circumboréal","dioïque","anémogame","cône","baie","endozoochore","B-semp","microphanérophytaie","associations arborescentes climaciques des forêts sempervirentes, aciculifoliées, oroméditerranéennes occidentales","sA Juniperetalia thurifero - communis Julve 2016 ord. nov. hoc loco",NA,"endozoochore","anémogame","Cupressaceae","Juniperus communis L., 1753","P",2,2020,2020
"132",136974,"Juniperus communis subsp. nana","circumboréal","dioïque","anémogame","cône","baie","endozoochore","Cfru","parvochaméphytaie","landines alpines à subalpines, des adrets, chionophobes","Juniperion communis subsp. nanae Braun-Blanquet in Braun-Blanquet, Sissingh & Vlieger 1939",NA,"endozoochore","anémogame","Cupressaceae","Juniperus communis subsp. nana (Hook.) Syme, 1868","P",3,2019,2020
"133",105042,"Larix decidua","orophyte alpien","monoïque","anémogame","cône","cône","anémochore","A-cad","magnophanérophytaie","associations arborescentes climaciques des forêts sempervirentes aciculifoliées boréo-subalpines de l'Europe occidentale, sur sols mésotrophes","sA Pino cembrae - Piceetea abietis Julve 1993","ccc","anémochore et dyszoochore","anémogame","Pinaceae","Larix decidua Mill., 1768","P",6,2019,2020
"134",105076,"Laserpitium latifolium","européen","hermaphrodite","entomogame","ombelle d'ombellules","akène","anémochore","Heri","hémicryptophytaie","mégaphorbiaies subalpines à montagnardes, mésohydriques, méso-oligotrophiles, basophiles, héliophiles","Calamagrostion variae Sillinger 1932 em. Hadàc & al. 1969","ccs","barochore","entomogame","Apiaceae","Laserpitium latifolium L., 1753","P",1,2019,2019
"135",105502,"Leontodon hispidus","européen","hermaphrodite","entomogame, autogame","capitule simple","akène","anémochore","hros","hémicryptophytaie","pelouses basophiles médio-européennes occidentales, mésohydriques à mésohygroclines","Brizo mediae - Plantaginenea mediae Julve 2019 subcla. nov. hoc loco",NA,"anémochore","entomogame","Asteraceae","Leontodon hispidus L., 1753","P",31,2019,2020
"136",105765,"Leucanthemopsis alpina","orophyte méridional","hermaphrodite","entomogame, autogame","capitule simple","akène","barochore","hsto","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicion herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame, autogame","Asteraceae","Leucanthemopsis alpina (L.) Heywood, 1975","P",80,2019,2020
"137",106144,"Linaria alpina","orophyte méridional","hermaphrodite","entomogame","racème capituliforme","capsule","barochore","test(hbis)","thérophytaie","annuelles pionnières des éboulis européens","Galeopsietea ladani O. de Bolòs 1968",NA,"barochore","entomogame","Plantaginaceae","Linaria alpina (L.) Mill., 1768","P",10,2019,2020
"138",106555,"Lonicera caerulea","circumboréal","hermaphrodite","entomogame","cyme multipare","baie","endozoochore","b-cad","nanophanérophytaie","buissons d'arbrisseaux mésohydriques, des sols stabilisés subalpins","Sorbo mougeotii - Lonicerion alpigenae de Foucault 2012","ccc","endozoochore","entomogame","Caprifoliaceae","Lonicera caerulea L., 1753","P",1,2019,2019
"139",106653,"Lotus corniculatus","eurasiatique méridional","hermaphrodite","entomogame","ombelle simple","gousse","barochore","heri","hémicryptophytaie","pelouses basophiles médio-européennes et nevado-illyriennes","Festuco valesiacae - Bromopsidetea erectae Braun-Blanquet & Tüxen 1943 em. Royer 1987",NA,"autochore ?","entomogame","Fabaceae","Lotus corniculatus L., 1753","P",10,2019,2020
"140",137438,"Lotus corniculatus subsp. alpinus","orophyte méridional","hermaphrodite","entomogame","ombelle simple","gousse","barochore","hsto","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994",NA,"barochore","entomogame","Fabaceae","Lotus corniculatus subsp. alpinus (DC.) Rothm., 1963","P",44,2019,2020
"141",106812,"Luzula alpina","orophyte méridional","hermaphrodite","anémogame","cyme de glomérules","capsule","myrmécochore","hces","hémicryptophytaie","pelouses acidophiles fermées, subalpines à alpines, chionophiles, alpiennes et hercyniennes, des ubacs","Campanulo barbatae - Potentillion aureae de Foucault 1994","crs","barochore","anémogame","Juncaceae","Luzula alpina Hoppe, 1839","P",2,2019,2020
"142",106813,"Luzula alpinopilosa","eurasiatique","hermaphrodite","anémogame","cyme de glomérules","capsule","myrmécochore","hces","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicetalia herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","anémogame","Juncaceae","Luzula alpinopilosa (Chaix) Breistr., 1947","P",72,2019,2020
"143",106838,"Luzula lutea","orophyte méridional","hermaphrodite","anémogame","cyme de glomérules","capsule","myrmécochore","hces","hémicryptophytaie","pelouses acidophiles alpines climaciques, chionophobes","Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","anémogame","Juncaceae","Luzula lutea (All.) DC., 1805","P",8,2019,2020
"144",106859,"Luzula spicata","arctico-alpin","hermaphrodite","anémogame","cyme de glomérules","capsule","myrmécochore","hces","hémicryptophytaie","pelouses acidophiles arctico-alpines climaciques, chionophobes","Caricetea curvulae subsp. curvulae Braun-Blanquet 1948","crs","barochore","anémogame","Juncaceae","Luzula spicata (L.) DC., 1805","P",5,2019,2019
"145",106861,"Luzula sudetica","eurasiatique","hermaphrodite","anémogame","cyme multipare","capsule","myrmécochore","hces","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","crs","barochore","anémogame","Juncaceae","Luzula sudetica (Willd.) Schult., 1814","P",1,2020,2020
"146",137521,"Luzula sylvatica subsp. sieberi","orophyte méridional","hermaphrodite","anémogame","cyme de glomérules","capsule","myrmécochore","hces","hémicryptophytaie","mégaphorbiaies pionnières de clairières acidophiles, méso-eutrophiles, médio-européennes, montagnardes","Prenanthion purpureae Julve 1993",NA,"myrmécochore","anémogame","Juncaceae","Luzula sylvatica subsp. sieberi (Tausch) K.Richt., 1890","P",1,2019,2019
