Numéro,_CBNA_presence_base,_CBNA_presence_ZA,_LECA_selection,_Code_taxon_CBNA,_Famille_CBNA,_Genre_CBNA,_libelle_taxon_CBNA,_type_biologiques_CBNA_VALS,_Hauteur_moyenne_CBNA_VALS,mode_dispersion_CBNA_VALS,Mode_dispersion_detail_CBNA,attribut_de_dissemin_CBNA,attribut_de_dissemin_modif_JVE,attribut_de_dissemin_commentaire_CBNA,Vittoz_SD_DispersalType,Vittoz_SD_Height,Vittoz_SD_SeedMass,Vittoz_SD_SLAall,L_Lumière_ellenberg_JVE,L_Lumièrel_ellenberg_Luc,L_Lumière_ellenberg_CBNA,L_Amplitude_Lumière_ellenberg_CBNA,L_Lumière_ellenberg,L_Ellenberg_British,LO_Ellenberg_British,F_Humidité du sol_ellenberg_CBNA,F_Humidité du sol_Landolt_CBNA,F_Ellenberg_British,FO_Ellenberg_British,F_Humidité du sol_ellenberg,N_Nutriments du sol_ellenberg_JVE,N_Nutriments du sol_Landolt_CBNA,N_Ellenberg_British,NO_Ellenberg_British,N_Nutriments du sol_ellenberg,R_Ellenberg_British,RO_Ellenberg_British,S_Ellenberg_British,SO_Ellenberg_British,chorologie_classe_JULVE,phenologie_ordre_de_floraison_JULVE,grand_type_de_formation_JULVE,CD_ref,Code_taxon_num,CBNA,ListeLECA,champs1_Subsp?_,macroclimat_CBNA,microclimat_Temperature_stationnelle_CBNA,libelle_taxon,graine_taille_CBNA,phenologie_fructification_:periode_CBNA,plante_carnivore_CBNA,lian_vrilles_crochet_crampons_CBNA,feuill_succulente_CBNA,tige_succulente_CBNA,feuill_epineuse_CBNA,rameau_ou_tige_epineux_CBNA,rameau_chlorophyllien_CBNA,port_dressé_CBNA,port_rampant_CBNA,port_procombant_CBNA,port_étalé_CBNA,Cycle_mono_ou_polycarpique_CBNA,cycle_maturite_longevite_CBNA,Cycle_classe_d_age_CBNA,classe_d_age_CBNA,diffusion_CBNA,types_morphologiques_de_Barkman_1988,Endemisme_CBNA_VALS,Biologie_type_de_nutrition_CBNA_VALS,Feuillage_caducite_persistance_CBNA,Chorologie_classe_modif_LG,naturalite_habitat_primaire_secondaire_CBNA_en attente,naturalite_habitat_primaire_secondaire_modifs_JVE_en attente,fleur_inflorescence_type_julve_revue_CBNA,fleur_couleur_CBNA,fleur_petale_ornementation_CBNA,fleur_sexualite_CBNA,fruit_type_CBNA_VALS,fruit_couleur_CBNA,gradiant_herbacee_ligneux_CBNA_VALS,Hauteur_fourchette_moyenne_CBNA_VALS,Hauteur_fourchette_exteme_CBNA,phenologie_floraison_ordre_CBNA,phenologie_floraisofeuillaison_ordre_CBNA,phenologie_floraison_periode_CBNA,phenologie_fecondationpollinisation_type_CBNA,indigénat_ZA_CBNA_VALS
5105,x,x,x,09159,Malvaceae,Malva,Malva neglecta Wallr.,TH et HE,10,barochore,Blastochorie-Speirochorie-Agochorie,sans attribut visible,,,,,,,7,$,7,,8,7,8,,3,4,5,5,7,,7,9,9,8,7,0,0,eurasiatique septentrional,,thérophytaie,107284,9159,x,x,,,,Malva neglecta Wallr.,,,,,,,,,,x,,,,monocarpique,,,,,,,chlorophyllien,hémisempervirent,Eurasiatique,S,,racème de cymes unipares hélicoïdes,blanc,,hermaphrodite,capsule,vert,herbacé,5-15,,,,,"entomogame, autogame",Indigène
5106,,,,09160,,Malva,Malva nicaeensis All.,TH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen(eury)-atlantique(eury),,thérophytaie,,9160,nr,,,,,Malva nicaeensis All.,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,,S,,racème de cymes unipares hélicoïdes,blanc,,hermaphrodite,capsule,vert,,,,,,5-7,entomogame,Exogène
5107,x,x,,09161,Malvaceae,Malva,Malva parviflora L.,TH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen,,thérophytaie,,9161,nr,,,,,Malva parviflora L.,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,Méditerranéen,S,,racème de cymes unipares hélicoïdes,blanc,,hermaphrodite,capsule,vert,,,,,,4-7,entomogame,Exogène
5108,x,x,,09163,Malvaceae,Malva,Malva pusilla Sm.,TH,,barochore,,sans attribut visible,,,,,,,,,,,8,8,8,,,5,4,4,,,5,5,5,5,5,0,1,eurasiatique septentrional,,thérophytaie,107303,9163,Syn,,,,,Malva pusilla Sm.,,,,,,,,,,x,,,,monocarpique,,,1,,,,chlorophyllien,hémisempervirent,Eurasiatique,S,,racème de cymes unipares hélicoïdes,"blanc, rose",,hermaphrodite,capsule,vert,herb,,,,,5-9,entomogame,Indigène
5109,x,x,x,09166,Malvaceae,Malva,Malva sylvestris L.,HE,80,barochore,Boleochorie-Speirochorie-Agochorie-Endozoochorie,sans attribut visible,,,,,,,8,$,8,,8,8,8,,3,4,4,4,7,,7,8,8,8,7,0,0,européen,,hémicryptophytaie,107318,9166,x,x,,,,Malva sylvestris L.,,,,,,,,,,x,,,,?,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Européen,S,,racème de cymes unipares hélicoïdes,rose,,hermaphrodite,capsule,vert,herbacé,40-160,,,,6-9,"entomogame, autogame",Indigène
5110,,,,09167,,Malva,Malva sylvestris L. subsp. ambigua (Guss.) P. Fourn.,,,barochore,,,,,,,,,,,,,,8,8,,,4,4,,,,7,8,,8,7,0,0,,,,,9167,NA,,,,,Malva sylvestris L. subsp. ambigua (Guss.) P. Fourn.,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,hémisempervirent,,S,,racème de cymes unipares hélicoïdes,rose,,,capsule,vert,,,,,,,entomogame,Exogène
5111,x,,,09169,,Malva,Malva tournefortiana L.,HE,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen occidental,,hémicryptophytaie,,9169,nr,,,,,Malva tournefortiana L.,,,,,,,,,,x,,,,,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Méditerranéen,S,,racème de cymes unipares hélicoïdes,rose,,hermaphrodite,capsule,vert,,,,,,,entomogame,Exogène
5112,,,,09170,,Malva,Malva verticillata L.,,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107324,9170,nr,,,,,Malva verticillata L.,,,,,,,,,,x,,,,,,,,,,,chlorophyllien,hémisempervirent,,S,,racème de cymes unipares hélicoïdes,rose,,,capsule,vert,,,,,,,entomogame,Exogène
5114,,,,40118,,Mantisalca,Mantisalca salmantica (L.) Briq. & Cavillier subsp. duriaei Spach,HE,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40118,NA,,,,,Mantisalca salmantica (L.) Briq. & Cavillier subsp. duriaei Spach,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,,,,chlorophyllien,hémisempervirent,,P,,racème de capitules,rose,,,akène,,,,,,,7-8,"entomogame, autogame",Indigène
5113,x,x,x,02618,Asteraceae,Mantisalca,Mantisalca salmantica (L.) Briq. & Cavillier subsp. salmantica,HE,70,anémochore,Trichometeorochorie,akène à aigrette,,,,,,,9,$,9,,,,,,1,,,,,,,,,,,,,méditerranéen,,hémicryptophytaie,107347,2618,x,x,,,,Mantisalca salmantica (L.) Briq. & Cavill.,,,,,,,,,,x,,,,?,,,3 ou 4,,,,chlorophyllien,hémisempervirent,Méditerranéen,ps,PS (friche post cult),racème de capitules,rose,,hermaphrodite,akène,,herbacé,50-90,,,,7-8,"entomogame, autogame",Indigène
