Numéro,_CBNA_presence_base,_CBNA_presence_ZA,_LECA_selection,_Code_taxon_CBNA,_Famille_CBNA,_Genre_CBNA,_libelle_taxon_CBNA,_type_biologiques_CBNA_VALS,_Hauteur_moyenne_CBNA_VALS,mode_dispersion_CBNA_VALS,Mode_dispersion_detail_CBNA,attribut_de_dissemin_CBNA,attribut_de_dissemin_modif_JVE,attribut_de_dissemin_commentaire_CBNA,Vittoz_SD_DispersalType,Vittoz_SD_Height,Vittoz_SD_SeedMass,Vittoz_SD_SLAall,L_Lumière_ellenberg_JVE,L_Lumièrel_ellenberg_Luc,L_Lumière_ellenberg_CBNA,L_Amplitude_Lumière_ellenberg_CBNA,L_Lumière_ellenberg,L_Ellenberg_British,LO_Ellenberg_British,F_Humidité du sol_ellenberg_CBNA,F_Humidité du sol_Landolt_CBNA,F_Ellenberg_British,FO_Ellenberg_British,F_Humidité du sol_ellenberg,N_Nutriments du sol_ellenberg_JVE,N_Nutriments du sol_Landolt_CBNA,N_Ellenberg_British,NO_Ellenberg_British,N_Nutriments du sol_ellenberg,R_Ellenberg_British,RO_Ellenberg_British,S_Ellenberg_British,SO_Ellenberg_British,chorologie_classe_JULVE,phenologie_ordre_de_floraison_JULVE,grand_type_de_formation_JULVE,CD_ref,Code_taxon_num,CBNA,ListeLECA,champs1_Subsp?_,macroclimat_CBNA,microclimat_Temperature_stationnelle_CBNA,libelle_taxon,graine_taille_CBNA,phenologie_fructification_:periode_CBNA,plante_carnivore_CBNA,lian_vrilles_crochet_crampons_CBNA,feuill_succulente_CBNA,tige_succulente_CBNA,feuill_epineuse_CBNA,rameau_ou_tige_epineux_CBNA,rameau_chlorophyllien_CBNA,port_dressé_CBNA,port_rampant_CBNA,port_procombant_CBNA,port_étalé_CBNA,Cycle_mono_ou_polycarpique_CBNA,cycle_maturite_longevite_CBNA,Cycle_classe_d_age_CBNA,classe_d_age_CBNA,diffusion_CBNA,types_morphologiques_de_Barkman_1988,Endemisme_CBNA_VALS,Biologie_type_de_nutrition_CBNA_VALS,Feuillage_caducite_persistance_CBNA,Chorologie_classe_modif_LG,naturalite_habitat_primaire_secondaire_CBNA_en attente,naturalite_habitat_primaire_secondaire_modifs_JVE_en attente,fleur_inflorescence_type_julve_revue_CBNA,fleur_couleur_CBNA,fleur_petale_ornementation_CBNA,fleur_sexualite_CBNA,fruit_type_CBNA_VALS,fruit_couleur_CBNA,gradiant_herbacee_ligneux_CBNA_VALS,Hauteur_fourchette_moyenne_CBNA_VALS,Hauteur_fourchette_exteme_CBNA,phenologie_floraison_ordre_CBNA,phenologie_floraisofeuillaison_ordre_CBNA,phenologie_floraison_periode_CBNA,phenologie_fecondationpollinisation_type_CBNA,indigénat_ZA_CBNA_VALS
3,x,x,x,17343,Pinaceae,Abies,Abies alba Miller,PH,2500,anémochore et dyszoochore,,graine à aile,,,4,2500,72.1566666666667,5.87,3,?,3,,(3),,,,3,,,x,,,,,x,,,,,Orophyte sud-Europe,,grande phanérophytaie,79319,17343,x,x,,4,3-4,Abies alba Mill.,,,,,,,,,,x,,,,polycarpique,,,6-7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,OROPHYTES,PS,,cône,jaune,,monoïque,cône,,frutescent,1000-4000,,ECH,CONT,4-5,anémogame,Indigène
4,x,x,,17345,Pinaceae,Abies,Abies cephalonica Loudon,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Balkans),,grande phanérophytaie,79325,17345,nr,,,,,Abies cephalonica Loudon,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,orophyte,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,,anémogame,Exogène
5,x,x,,17347,Pinaceae,Abies,Abies grandis (D. Don) Lindley,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Amér. du nord occ.),,grande phanérophytaie,,17347,NA,,,,,Abies grandis (Douglas ex D.Don) Lindl.,,,,,,,,,,x,,,,polycarpique,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,OROPHYTES,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,4,anémogame,Exogène
1,x,x,,17350,Pinaceae,Abies,Abies nordmanniana (Steven) Spach,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Caucase),,grande phanérophytaie,79345,17350,nr,,,,,Abies nordmanniana (Steven) Spach subsp. nordmanniana,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,4,anémogame,Exogène
6,x,x,,17351,Pinaceae,Abies,Abies nordmanniana (Steven) Spach subsp. bornmuelleriana (Mattf.) Coode & Cullen,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Caucase),,grande phanérophytaie,130694,17351,nr,,T,,,Abies nordmanniana (Steven) Spach subsp. bornmuelleriana (Mattf.) Coode & Cullen,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,OROPHYTES,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,4,anémogame,Exogène
2,x,x,,40029,Pinaceae,Abies,Abies pinsapo Boiss.,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Espagne),,grande phanérophytaie,79349,40029,nr,,,,,Abies pinsapo Boiss.,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,Méditerranéen,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,,anémogame,Exogène
9510,x,x,,50577,Thuidiaceae,Abietinella,Abietinella abietina (Hedw.) M.Fleisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,x,x,x,09111,Malvaceae,Abutilon,Abutilon theophrasti Medik.,TH,80,barochore,Boleochorie-Speirochorie,sans attribut visible,,,,,,,7,$,7,,,,,,3,,,,,,,,,,,,,eurasiatique,,thérophytaie,79684,9111,x,x,,2,2,Abutilon theophrasti Medik.,,,,,,,,,,x,,,,monocarpique,1,a2,1,sexuée et rejets de touffe,?,,chlorophyllien,caduque,Eurasiatique,S,,racème de cymes bipares,jaune,,hermaphrodite,capsule,,herbacé,40-120,,ECH,CONT,6-7,entomogame,Exogène
8,,,,09187,,Acacia,Acacia dealbata Willd.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9187,nr,,,,,Acacia dealbata Link,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,ECH,CONT,,entomogame,Exogène
9,,,,09188,,Acacia,Acacia farnesiana (L.) Willd.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit,,,,9188,nr,,,,,Acacia farnesiana (L.) Willd.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
10,,,,09190,,Acacia,Acacia karroo Hayne,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Afrique du sud),,grande phanérophytaie,,9190,NA,,,,,Acacia karoo Hayne,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Africain,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,6-7,entomogame,Exogène
11,,,,09191,,Acacia,Acacia longifolia (Andrews) Willd.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9191,nr,,,,,Acacia longifolia (Andrews) Willd.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,4-5,entomogame,Exogène
12,,,,09193,,Acacia,Acacia mearnsii De Wild.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9193,NA,,,,,Acacia mearnsii De Wild.,,,,,,,,x,x,x,,,,polycarpique,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
13,,,,09194,,Acacia,Acacia melanoxylon R. Br.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9194,nr,,,,,Acacia melanoxylon R.Br.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,"blanc, jaune",,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
14,,,,09196,,Acacia,Acacia retinodes Schlecht.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9196,nr,,,,,Acacia retinodes Schltr.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,6-7,entomogame,Exogène
15,,,,09197,,Acacia,Acacia saligna (Labill.) Wendl. fil.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9197,nr,,,,,Acacia saligna (Labill.) H.L.Wendl.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
16,x,x,,00004,Acanthaceae,Acanthus,Acanthus mollis L. subsp. mollis,HE,80,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen,,hémicryptophytaie,79721,4,nr,,T,1-2,1-2,Acanthus mollis L. subsp. mollis,,,,,,,x,,,x,,,,,,,3 ou 4,sexuée et rejets de touffe,?,,chlorophyllien,hémisempervirent,Méditerranéen,S,,cyme unipare hélicoïde,blanc et mauve,rose,hermaphrodite,capsule,vert,,70-110,,ECH,CONT,5-8,entomogame,Exogène
17,x,x,x,00006,Aceraceae,Acer,Acer campestre L. subsp. campestre,PH,500,anémochore,,Akène à aile longue,,,4,500,56.53232,14.6666665,5,?,5,,(5),5,5,,3,5,5,5,,,6,6,6,7,7,0,0,eurasiatique méridional,,grande phanérophytaie,79734,6,x,x,T,3,3,Acer campestre L. subsp. campestre,,,,,,,,,,x,,,,polycarpique,,,6,?,fragids,,chlorophyllien,caduque,Eurasiatique,PS,,corymbe,vert,,polygame,samare,,frutescent,150-1000,,SIM,ANT,5,anémogame,Indigène
18,,,,00009,,Acer,Acer cappadocicum Gleditsch,PH,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,NA,,,,,Acer cappadocicum Gleditsch,,,,,,,,,,x,,,,polycarpique,,,6,?,fragids,,chlorophyllien,caduque,,S,,corymbe,vert,,polygame,samare,,,,,SIM,ANT,,anémogame,Exogène
9113,x,x,,00013,Aceraceae,Acer,Acer monspessulanum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,00014,,Acer,Acer monspessulanum L. subsp. loscosii (Rouy) P. Fourn.,PH,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,NA,,,1-2,2,Acer monspessulanum L. subsp. loscosii (Rouy) P. Fourn.,,,,,,,,,,x,,,,,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,,PS,,corymbe,jaune,,polygame,samare,vert,,,,SIM,ANT,,anémogame,Indigène
20,x,x,,00015,Aceraceae,Acer,Acer monspessulanum L. subsp. martinii (Jordan) P. Fourn.,PH,?,anémochore,,Akène à aile longue,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen,,,130706,15,NR,,T,1-2,2,Acer monspessulanum L. subsp. martinii (Jordan) P. Fourn.,,,,,,,,,,x,,,,,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,Méditerranéen,PS,,corymbe,jaune,,polygame,samare,vert,frutescent,?,,SIM,ANT,,anémogame,Indigène
21,x,x,x,00016,Aceraceae,Acer,Acer monspessulanum L. subsp. monspessulanum,PH,400,anémochore,Dyszoochorie-Pterometeochorie-Ethelochorie,Akène à aile longue,,,,,,,6,$,6,,(6),,,,2,,,3,,,,,4,,,,,méditerranéen,,grande phanérophytaie,130707,16,x,x,T,1-2,2,Acer monspessulanum L. subsp. monspessulanum,,,,,,,,,,x,,,,polycarpique,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,Méditerranéen,PS,,corymbe,jaune,,polygame,samare,,frutescent,200-600,,SIM,ANT,4,anémogame,Indigène
22,x,x,x,00017,Aceraceae,Acer,Acer negundo L. subsp. negundo,PH,800,anémochore,Dyszoochorie-Pterometeochorie-Ethelochorie,Akène à aile longue,,,,,,,5,?,5,,(5),,,,4,,,6,,,,,7,,,,,introduit (Amér. du nord),,grande phanérophytaie,79766,17,x,x,T,3,3,Acer negundo L. subsp. negundo,,,,,,,,,,x,,,,polycarpique,,,6,?,fragids,,chlorophyllien,caduque,Américain,S,,racème de cymes unipares scorpioïdes,jaune,,polygame,samare,,frutescent,400-1500,,SIM,ANT,,anémogame,Exogène
23,x,,,00018,,Acer,Acer obtusatum Willd.,PH,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen central,,grande phanérophytaie,,18,nr,,,,2,Acer obtusatum Waldst. & Kit. ex Willd. subsp. obtusatum,,,,,,,,,,x,,,,,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,Méditerranéen,P,,corymbe,jaune,,polygame,samare,,,,,SIM,ANT,,anémogame,Indigène
24,x,x,x,00019,Aceraceae,Acer,Acer opalus Miller,PH,700,anémochore,Dyszoochorie,Akène à aile longue,,,,,,,5,?,5,,(5),,,,2,,,4,,,,,6,,,,,européen méridional,,grande phanérophytaie,79770,19,x,x,,2,2,Acer opalus Mill. subsp. opalus,,,,,,,,,,x,,,,polycarpique,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,Européen,PS,,corymbe,jaune,,polygame,samare,,frutescent,200-1000,,SIM,ANT,3-4,anémogame,Indigène
25,x,x,x,00022,Aceraceae,Acer,Acer platanoides L.,PH,1000,anémochore,,Akène à aile longue,,,,,,,4,?,4,,(4),4,4,,3,5,,x,,,7,,x,7,,0,0,européen,,grande phanérophytaie,79779,22,x,x,,3,3,Acer platanoides L. subsp. platanoides,,,,,,,,,,x,,,,polycarpique,,,6-7,sexuée uniquement,fragids,,chlorophyllien,caduque,Européen,PS,,corymbe,jaune,,polygame,samare,,frutescent,500-2000,,SIM,ANT,4-5,anémogame,Indigène
26,x,x,x,00023,Aceraceae,Acer,Acer pseudoplatanus L.,PH,1500,anémochore,,Akène à aile longue,,,4,1500,91.980756248125,16.597459,4,?,4,,(4),4,4,,3,5,6,6,,,6,7,7,6,,0,0,européen,,grande phanérophytaie,79783,23,x,x,,3,3,Acer pseudoplatanus L.,,,,,,,,,,x,,,,polycarpique,,,6-7,sexuée uniquement,fragids,,chlorophyllien,caduque,Européen,PS,,racème de cymes unipares scorpioïdes,vert,,polygame,samare,,frutescent,500-2500,,SIM,ANT,5,anémogame,Indigène
27,x,x,,00024,Aceraceae,Acer,Acer saccharinum L.,PH,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit,,,79788,24,nr,,,,,Acer saccharinum L.,,,,,,,,,,x,,,,,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,,S,,?,vert,,polygame,samare,,,,,SIM,ANT,,anémogame,Exogène
29,x,x,,40189,Aceraceae,Acer,Acer x peronai Schwerin,PH,,anémochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79810,40189,nr,,,,,Acer x peronai Schwerin,,,,,,,,,,x,,,,,,,6,sexuée uniquement,fragids,,chlorophyllien,caduque,,PS,,corymbe,jaune,,polygame,samare,,,,,SIM,ANT,,anémogame,Indigène
30,x,x,x,14863,Orchidaceae,Aceras,Aceras anthropophorum (L.) Aiton fil.,GE,30,anémochore,,sans attribut visible,,,,,,,7 ou 6 pour sud,7ok,7,,7,7,7,,,4,4,4~,,,3,3,3,8,8,0,0,méditerranéen-atlantique,,hémicryptophytaie,79816,14863,x,x,,2,2,Aceras anthropophorum (L.) Aiton fil.,,,,,,,,,,x,,,,polycarpique,,,?,bulbe tubercule,ranunculids,,chlorophyllien,hémisempervirent,,PS,,épi simple,jaune,rose,hermaphrodite,capsule,,herbacé,20-40,,ECH,CONT,4-6,entomogame,Indigène
31,x,x,x,00771,Asteraceae,Achillea,Achillea ageratum L.,HE,40,barochore,Boleochorie,akène sans attribut,,,,,,,8,$,9,,,,,,4,,,,,,,,,,,,,méditerranéen occidental,,hémicryptophytaie,79865,771,x,x,,1,1,Achillea ageratum L.,,,,,,,,,,x,,,,polycarpique,,b3,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,Méditerranéen,P,,corymbe de capitules,jaune,,hermaphrodite,akène,,herbacé,30-50,,ECH,CONT,7-8,entomogame,Indigène
32,x,x,x,00772,Asteraceae,Achillea,Achillea atrata L.,HE,30,barochore,,akène sans attribut,,,,,,,9,$,9,,9,,,,,,,5,,,,,3,,,,,orophyte alpien,,hémicryptophytaie,79868,772,x,x,,4-5,5,Achillea atrata L.,,,,,,,,,,x,,,,polycarpique,,b3,3-4,rhizome drageonnant,,orophyte alpien,chlorophyllien,hémisempervirent,Orophyte endémique,P,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,15-40,,ECH,CONT,7-8,entomogame,Indigène
33,,,,00773,,Achillea,Achillea chamaemelifolia Pourret,HE,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orophyte pyrénéen,,hémicryptophytaie,,773,NA,,,4,,Achillea chamaemelifolia Pourr.,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,rhizome drageonnant,,orophyte pyrénéen,chlorophyllien,hémisempervirent,OROPHYTES,P,,corymbe de capitules,blanc,,hermaphrodite,akène,,,,,ECH,CONT,6-7,entomogame,Indigène
34,x,x,x,40144,Asteraceae,Achillea,Achillea collina Reichb.,HE (et CH),30,barochore,,akène sans attribut,,,,,,,8,$,9,,,,,,,,,,,,,,,,,,,Eurymediterranéenne,,,79875,40144,x,x,,1-2,1-2,Achillea collina Reichb.,,,,,,,,,,x,,,,polycarpique,,,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,Méditerranéen,PS,PS,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé ? (suffrutescent ?),20-40,,ECH,CONT,4-8,entomogame,Indigène
35,x,x,x,00774,Asteraceae,Achillea,Achillea crithmifolia Waldst. & Kit.,HE (et CH),40,barochore,Boleochorie,akène sans attribut,,,,,,,8,7non-,8,,,,,,2,,,,,,,,,,,,,,,,79877,774,x,x,,2,2,Achillea crithmifolia Waldst. & Kit.,,,,,,,,,,x,,,,polycarpique,,,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,,S,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,25-50,,ECH,CONT,6-7,entomogame,Exogène
36,x,x,x,00776,Asteraceae,Achillea,Achillea distans Waldst. & Kit. ex Willd.,HE,60,barochore,Boleochorie,akène sans attribut,,,,,,,7,6ok,7,,,,,,3,,,,,,,,,,,,,,,,79886,776,x,x,,4,4,Achillea distans Waldst. & Kit. ex Willd.,,,,,,,,,,x,,,,polycarpique,,b3,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,corymbe de capitules,"blanc, rose",,hermaphrodite,akène,,herbacé,40-70,,ECH,CONT,,entomogame,Indigène
37,,,,00777,,Achillea,Achillea distans Waldst. & Kit. ex Willd. subsp. distans,HE,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,NA,,T,4,4,Achillea distans Waldst. & Kit. ex Willd. subsp. distans,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,corymbe de capitules,"blanc, rose",,hermaphrodite,akène,,,,,ECH,CONT,,entomogame,Indigène
38,x,x,,00778,Asteraceae,Achillea,Achillea distans Waldst. & Kit. ex Willd. subsp. tanacetifolia Janchen,HE,,barochore,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,orophyte alpien,,hémicryptophytaie,130726,778,nr,,,4,4,Achillea distans Waldst. & Kit. ex Willd. subsp. tanacetifolia Janch.,,,,,,,,,,x,,,,,,,3 ou 4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,OROPHYTES,S,,corymbe de capitules,"blanc, rose",,hermaphrodite,akène,,,,,ECH,CONT,7-9,entomogame,Indigène
9123,x,x,,00779,Asteraceae,Achillea,"Achillea erba-rotta All. ""herba-rotta""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,x,x,,00780,Asteraceae,Achillea,"Achillea erba-rotta All. ""herba-rotta"" subsp. ambigua (Heimerl) I.B.K. Richardson",HE,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130727,780,nr,,T,,,"Achillea erba-rotta All. ""herba-rotta"" subsp. ambigua (Heimerl) I.B.K. Richardson",,,,,,,,,,x,,,,,,,3 ou 4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,OROPHYTES,P,,corymbe de capitules,blanc,,hermaphrodite,akène,,,,,ECH,CONT,6-8,entomogame,Indigène
40,,,x,00781,,Achillea,"Achillea erba-rotta All. ""herba-rotta"" subsp. erba-rotta",HE ou CH,13,barochore,Boleochorie,akène sans attribut,,,,,,,7,$,8,,,,,,2,,,,,,,,,,,,,orophyte ouest alpien,,hémicryptophytaie,130728,781,x,x,,4,3-4,Achillea erba-rotta All. subsp. erba-rotta,,,,,,,,,,x,,,,polycarpique,,,3-4,rhizome drageonnant,,orophyte ouest alpien,chlorophyllien,hémisempervirent,Orophyte endémique,P,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,8-20,,ECH,CONT,7-8,entomogame,Indigène
9397,x,x,,40332,Asteraceae,Achillea,Achillea filipendula Lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,x,x,,00784,Asteraceae,Achillea,Achillea ligustica All.,HE et CH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,méditerranéen occidental,,hémicryptophytaie,79903,784,x?,,,,,Achillea ligustica All.,,,,,,,,,,x,,,,,,,4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,Méditerranéen,PS,,corymbe de capitules,blanc,,hermaphrodite,akène,,h,,,ECH,CONT,,entomogame,Indigène
42,x,x,x,00785,Asteraceae,Achillea,Achillea macrophylla L.,HE,70,barochore,,akène sans attribut,,,,,,,6 ou 7,6-,6,,6,,,,4,,,6,8,,,,8,,,,,,,hémicryptophytaie,79905,785,x,x,,4,4,Achillea macrophylla L.,,,,,,,,,,x,,,,polycarpique,,b3,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,OROPHYTES,P,P?,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,50-90,,ECH,CONT,7-8,entomogame,Indigène
43,x,x,x,00786,Asteraceae,Achillea,Achillea millefolium L.,HE (et CH),45,barochore,Agochorie,akène sans attribut,,,,,,,7,$,7,,,7,8,,3,5,4,,,,4,5,,6,,1,1,Europe,,,79908,786,x,x,,3,3,Achillea millefolium L.,,,,,,,,,,x,,,,polycarpique,,,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,Européen,PS,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé ? (suffrutescent ?),30-60,,ECH,CONT,3-10,entomogame,Indigène
44,x,x,,00788,Asteraceae,Achillea,Achillea millefolium L. subsp. alpestris (Wimm. & Grab.) Gremli,HE,,barochore,,,,,,,,,,,,,,7,8,,,5,4,,,,4,5,,6,,1,1,orophyte méridional,protandre,hémicryptophytaie,130730,788,nr,,T,4,5,Achillea millefolium L. subsp. alpestris (Wimm. & Grab.) Gremli,,,,,,,,,,x,,,,,,,3 ou 4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,OROPHYTES,PS,,corymbe de capitules,blanc,,hermaphrodite,akène,,,,,ECH,CONT,6-9,entomogame,Indigène
45,,,,00789,,Achillea,Achillea millefolium L. subsp. ceretana Sennen,HE,,barochore,,,,,,,,,,,,,,7,8,,,5,4,,,,4,5,,6,,1,1,,,,,789,NA,,,,3,Achillea millefolium L. subsp. ceretana Sennen,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,,PS,,corymbe de capitules,blanc,,hermaphrodite,akène,,,,,ECH,CONT,,entomogame,Indigène
46,x,x,,00790,Asteraceae,Achillea,Achillea millefolium L. subsp. millefolium,HE,,barochore,,,,,,,,,,,,,8,7,8,,,5,4,4,,,4,5,5,6,,1,1,eurasiatique,protandre,hémicryptophytaie,,790,NA,,,4,3,Achillea millefolium L. subsp. millefolium,,,,,,,,,,x,,,,polycarpique,,,3 ou 4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,Eurasiatique,PS,,corymbe de capitules,blanc,,hermaphrodite,akène,,,,,ECH,CONT,6-9,entomogame,Indigène
47,x,x,x,00795,Asteraceae,Achillea,Achillea moschata Wulfen,HE ou CH,10,barochore,,akène sans attribut,,,NA,10,NA,NA,8,7non-,8,,9,,,,,,,6,,,,,2,,,,,orophyte alpien,,hémicryptophytaie,79910,795,x,x,,4,3,Achillea moschata Wulfen,,,,,,,,,,x,,,,polycarpique,,,3-4,rhizome drageonnant,,orophyte alpien,chlorophyllien,hémisempervirent,Orophyte endémique,P,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,8-15,,ECH,CONT,7-8,entomogame,Indigène
48,x,x,x,00796,Asteraceae,Achillea,Achillea nana L.,HE,10,barochore,,akène sans attribut,,,NA,10,0.2,15.298411,8,$,8,,8,,,,3,,,6,,,,,2,,,,,orophyte ouest alpien,,hémicryptophytaie,79913,796,x,x,,5,4-5,Achillea nana L.,,,,,,,,,,x,,,,polycarpique,,b3,3-4,rhizome drageonnant,,orophyte ouest alpien,chlorophyllien,hémisempervirent,Orophyte endémique,P,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,7-15,,ECH,CONT,7-8,entomogame,Indigène
49,x,x,x,00797,Asteraceae,Achillea,Achillea nobilis L.,HE (et CH),50,barochore,Boleochorie,akène sans attribut,,,,,,,8,$,9,,8,,,,2,,,4,,,,,1,,,,,eurasiatique méridional,,hémicryptophytaie,79914,797,x,x,,3,2,Achillea nobilis L. subsp. nobilis,,,,,,,,,,x,,,,polycarpique,,,3-4,rhizome drageonnant,,,chlorophyllien,hémisempervirent,Eurasiatique,PS,,corymbe de capitules,blanc,,hermaphrodite,akène,,herbacé,30-60,,ECH,CONT,7-8,entomogame,Indigène
