Code_taxon_CBNA,CD_REF,cdref7,libcdref7,Strategie_CSR,Forme_vie
11402,118158,118158,"Rosa elliptica Tausch, 1819",ccc,n-z
11402,118158,118158,"Rosa elliptica Tausch, 1819",ccc,n-z
11405,118173,118173,"Rosa ferruginea Vill., 1779",ccc,n
11405,118173,118173,"Rosa ferruginea Vill., 1779",ccc,n
11415,118329,118329,"Rosa micrantha Borrer ex Sm., 1812",ccc,n
11417,118343,118343,"Rosa montana Chaix, 1785",ccc,n
11422,118397,118397,"Rosa pendulina L., 1753",ccc,n
11422,118397,118397,"Rosa pendulina L., 1753",ccc,n
11422,118397,118397,"Rosa pendulina L., 1753",ccc,n
11429,118474,118474,"Rosa rubiginosa L., 1771",ccc,n
11429,118474,118474,"Rosa rubiginosa L., 1771",ccc,n
11443,118557,118557,"Rosa tomentosa Sm., 1800",ccc,n
11445,118582,118582,"Rosa villosa L., 1753",ccc,n
17132,119698,119698,"Ruscus aculeatus L., 1753",ccc,g-z
12017,140437,140437,Salix alba var. alba,ccc,p
12025,119933,119933,"Salix appendiculata Vill., 1789",ccc,n-p
12025,119933,119933,"Salix appendiculata Vill., 1789",ccc,n-p
12038,119970,119970,"Salix caesia Vill., 1789",ccc,n
12040,119977,119977,"Salix caprea L., 1753",ccc,n-p
12043,119991,119991,"Salix cinerea L., 1753",ccc,n
12047,120009,120009,"Salix daphnoides Vill., 1779",ccc,n-p
12051,120037,120037,"Salix foetida Schleich. ex DC., 1805",ccc,n
12051,120037,120037,"Salix foetida Schleich. ex DC., 1805",ccc,n
12052,120040,120040,"Salix fragilis L., 1753",ccc,p
12057,120052,120052,"Salix hastata L., 1753",ccc,n
12062,120085,120085,"Salix laggeri Wimm., 1854",ccc,n
12062,120085,120085,"Salix laggeri Wimm., 1854",ccc,n
12062,120085,120085,"Salix laggeri Wimm., 1854",ccc,n
12068,120135,120135,"Salix myrsinifolia Salisb., 1796",ccc,n
12075,120163,120163,"Salix pentandra L., 1753",ccc,n-p
4839,120717,120717,"Sambucus nigra L., 1753",ccc,n-p
4842,120720,120720,"Sambucus racemosa L., 1753",ccc,n
5357,120824,120824,"Saponaria officinalis L., 1753",ccc,h
7561,124453,124453,"Spartium junceum L., 1753",ccc,n
3027,125474,125474,"Tanacetum vulgare L., 1753",ccc,h
3027,125474,125474,"Tanacetum vulgare L., 1753",ccc,h
3027,125474,125474,"Tanacetum vulgare L., 1753",ccc,h
13077,126628,126628,"Tilia cordata Mill., 1768",ccc,p
13077,126628,126628,"Tilia cordata Mill., 1768",ccc,p
13077,126628,126628,"Tilia cordata Mill., 1768",ccc,p
13077,126628,126628,"Tilia cordata Mill., 1768",ccc,p
13081,126650,126650,"Tilia platyphyllos Scop., 1771",ccc,p
4847,129083,129083,"Viburnum lantana L., 1753",ccc,n
4849,129087,129087,"Viburnum opulus L., 1753",ccc,n
7871,129319,129319,"Vicia sylvatica L., 1753",ccc,h.li
790,130736,130736,Achillea millefolium L. subsp. millefolium,ccr,c-h
10912,80410,80410,"Agrimonia eupatoria L., 1753",ccr,h
15332,80759,80759,"Agrostis stolonifera L., 1753",ccr,h
3663,81295,81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",ccr,h-t
3663,81295,81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",ccr,h-t
3663,81295,81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",ccr,h-t
3663,81295,81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",ccr,h-t
3663,81295,81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",ccr,h-t
893,83502,83502,"Arctium minus (Hill) Bernh., 1800",ccr,k
893,83502,83502,"Arctium minus (Hill) Bernh., 1800",ccr,k
15482,131693,131693,Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius,ccr,h
15492,84173,84173,"Arundo donax L., 1753",ccr,g
3895,86975,86975,"Bunias orientalis L., 1753",ccr,g-k
4691,87716,87716,"Campanula rhomboidalis L., 1753",ccr,h
4691,87716,87716,"Campanula rhomboidalis L., 1753",ccr,h
1163,88178,88178,"Carduus personata (L.) Jacq., 1776",ccr,h
13967,88569,88569,"Carex hirta L., 1753",ccr,g-h
272,89250,89250,"Carum carvi L., 1753",ccr,k-t
1207,89330,89330,"Catananche caerulea L., 1753",ccr,h
9458,90669,90669,"Chelidonium majus L., 1753",ccr,h-k
1492,91289,91289,"Cirsium arvense (L.) Scop., 1772",ccr,g
1595,93015,93015,"Crepis biennis L., 1753",ccr,k
11793,93308,93308,"Cruciata laevipes Opiz, 1852",ccr,g
11793,93308,93308,"Cruciata laevipes Opiz, 1852",ccr,g
11793,93308,93308,"Cruciata laevipes Opiz, 1852",ccr,g
3408,93830,93830,"Cynoglossum germanicum Jacq., 1767",ccr,k
3408,93830,93830,"Cynoglossum germanicum Jacq., 1767",ccr,k
3414,93840,93840,"Cynoglossum officinale L., 1753",ccr,k-t
9271,96136,96136,"Epilobium angustifolium L., 1753",ccr,g-h
17641,96508,96508,"Equisetum arvense L., 1753",ccr,g
429,135306,135306,Heracleum sphondylium L. subsp. sphondylium,ccr,h
429,135306,135306,Heracleum sphondylium L. subsp. sphondylium,ccr,h
16407,103216,103216,"Hyparrhenia hirta (L.) Stapf, 1919",ccr,h
7125,105273,105273,"Lathyrus tuberosus L., 1753",ccr,g.li
16461,106497,106497,"Lolium multiflorum Lam., 1779",ccr,h-t
16461,106497,106497,"Lolium multiflorum Lam., 1779",ccr,h-t
16461,106497,106497,"Lolium multiflorum Lam., 1779",ccr,h-t
16461,106497,106497,"Lolium multiflorum Lam., 1779",ccr,h-t
16465,106499,106499,"Lolium perenne L., 1753",ccr,h
487,109161,109161,"Myrrhis odorata (L.) Scop., 1771",ccr,h
487,109161,109161,"Myrrhis odorata (L.) Scop., 1771",ccr,h
517,138623,138623,Pastinaca sativa L. subsp. sativa,ccr,k-t
2718,113474,113474,"Picris hieracioides L., 1753",ccr,h-k
2723,138788,138788,"Picris hieracioides subsp. spinulosa (Bertol. ex Guss.) Arcang., 1882",ccr,k-t
2723,138788,138788,"Picris hieracioides subsp. spinulosa (Bertol. ex Guss.) Arcang., 1882",ccr,k-t
561,113579,113579,"Pimpinella major (L.) Huds., 1762",ccr,h
10169,119550,119550,"Rumex obtusifolius L., 1753",ccr,h
12048,120029,120029,"Salix eleagnos Scop., 1772",ccr,n-p
12078,120189,120189,"Salix purpurea L., 1753",ccr,n
8773,120908,120908,"Satureja montana L., 1753",ccr,z
5443,123560,123560,"Silene nemoralis Waldst. & Kit., 1812",ccr,k
5443,123560,123560,"Silene nemoralis Waldst. & Kit., 1812",ccr,k
7625,141860,141860,Trifolium hybridum var. hybridum,ccr,h
13120,128268,128268,"Urtica dioica L., 1753",ccr,h
785,79905,79905,"Achillea macrophylla L., 1753",ccs,h
10395,80034,80034,"Aconitum lycoctonum L., 1753",ccs,h
10419,130802,130802,"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944",ccs,h
10419,130802,130802,"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944",ccs,h
10428,80137,80137,"Actaea spicata L., 1753",ccs,h
1080,80183,80183,"Adenostyles alliariae (Gouan) A.Kern., 1871",ccs,h
10940,81055,81055,"Alchemilla colorata Buser, 1892",ccs,h
10940,81055,81055,"Alchemilla colorata Buser, 1892",ccs,h
10943,81058,81058,"Alchemilla connivens Buser, 1894",ccs,h
10944,81059,81059,"Alchemilla coriacea Buser, 1891",ccs,h
10944,81059,81059,"Alchemilla coriacea Buser, 1891",ccs,h
10947,81063,81063,"Alchemilla crinita Buser, 1892",ccs,h
11009,81075,81075,"Alchemilla fissa Günther & Schummel, 1819",ccs,h
11009,81075,81075,"Alchemilla fissa Günther & Schummel, 1819",ccs,h
10958,81076,81076,"Alchemilla flabellata Buser, 1891",ccs,h
10958,81076,81076,"Alchemilla flabellata Buser, 1891",ccs,h
10967,81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,h
10967,81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,h
10967,81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,h
10969,81091,81091,"Alchemilla glaucescens Wallr., 1840",ccs,h
10969,81091,81091,"Alchemilla glaucescens Wallr., 1840",ccs,h
10969,81091,81091,"Alchemilla glaucescens Wallr., 1840",ccs,h
10969,81091,81091,"Alchemilla glaucescens Wallr., 1840",ccs,h
10970,81092,81092,"Alchemilla glomerulans Buser, 1893",ccs,h
10974,81097,81097,"Alchemilla heteropoda Buser, 1894",ccs,h
10982,81104,81104,"Alchemilla incisa Buser, 1892",ccs,h
10998,81130,81130,"Alchemilla monticola Opiz, 1838",ccs,h
11019,81166,81166,"Alchemilla splendens H.Christ ex Favrat, 1889",ccs,h
11022,81170,81170,"Alchemilla subcrenata Buser, 1893",ccs,h
11035,81195,81195,"Alchemilla xanthochlora Rothm., 1937",ccs,h
11035,81195,81195,"Alchemilla xanthochlora Rothm., 1937",ccs,h
3316,131226,131226,Alnus alnobetula (Ehrh.) K.Koch subsp. alnobetula,ccs,n
3316,131226,131226,Alnus alnobetula (Ehrh.) K.Koch subsp. alnobetula,ccs,n
3321,81570,81570,"Alnus incana (L.) Moench, 1794",ccs,p
15437,81656,81656,"Alopecurus pratensis L., 1753",ccs,h
11038,82103,82103,"Amelanchier ovalis Medik., 1793",ccs,n
11038,82103,82103,"Amelanchier ovalis Medik., 1793",ccs,n
11038,82103,82103,"Amelanchier ovalis Medik., 1793",ccs,n
11039,131307,131307,"Amelanchier ovalis subsp. embergeri Favarger & Stearn, 1983",ccs,n
161,82738,82738,"Angelica sylvestris L., 1753",ccs,k
171,131460,131460,Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris,ccs,h
738,83791,83791,"Aristolochia pistolochia L., 1763",ccs,g
941,83958,83958,"Artemisia chamaemelifolia Vill., 1779",ccs,c
11057,84135,84135,"Aruncus dioicus (Walter) Fernald, 1939",ccs,h
11057,84135,84135,"Aruncus dioicus (Walter) Fernald, 1939",ccs,h
11057,84135,84135,"Aruncus dioicus (Walter) Fernald, 1939",ccs,h
13723,84264,84264,"Asparagus acutifolius L., 1753",ccs,g-n.li
13742,131779,131779,"Asphodelus albus subsp. delphinensis (Gren. & Godr.) Z.Diaz & Valdés, 1996",ccs,h
6725,84792,84792,"Astragalus alpinus L., 1753",ccs,h
6727,84800,84800,"Astragalus australis (L.) Lam., 1779",ccs,h
6737,84831,84831,"Astragalus depressus L., 1756",ccs,h
6747,84843,84843,"Astragalus glycyphyllos L., 1753",ccs,h
6755,84853,84853,"Astragalus incanus L., 1759",ccs,h
6770,84882,84882,"Astragalus penduliflorus Lam., 1779",ccs,h
6770,84882,84882,"Astragalus penduliflorus Lam., 1779",ccs,h
6777,131928,131928,Astragalus sempervirens Lam. subsp. sempervirens,ccs,z
6777,84897,84897,"Astragalus sempervirens Lam., 1783",ccs,z
190,84936,84936,"Astrantia major L., 1753",ccs,h
197,84937,84937,"Astrantia minor L., 1753",ccs,h
197,84937,84937,"Astrantia minor L., 1753",ccs,h
17797,84998,84998,"Athyrium distentifolium Tausch ex Opiz, 1820",ccs,h
17797,84998,84998,"Athyrium distentifolium Tausch ex Opiz, 1820",ccs,h
17797,84998,84998,"Athyrium distentifolium Tausch ex Opiz, 1820",ccs,h
17798,84999,84999,"Athyrium filix-femina (L.) Roth, 1799",ccs,h
17798,84999,84999,"Athyrium filix-femina (L.) Roth, 1799",ccs,h
17798,84999,84999,"Athyrium filix-femina (L.) Roth, 1799",ccs,h
3310,85774,85774,"Berberis vulgaris L., 1753",ccs,n
3340,85903,85903,"Betula pendula Roth, 1788",ccs,p
3340,85903,85903,"Betula pendula Roth, 1788",ccs,p
3340,85903,85903,"Betula pendula Roth, 1788",ccs,p
6798,86083,86083,"Bituminaria bituminosa (L.) C.H.Stirt., 1981",ccs,h
6798,86083,86083,"Bituminaria bituminosa (L.) C.H.Stirt., 1981",ccs,h
15618,86289,86289,"Brachypodium pinnatum (L.) P.Beauv., 1812",ccs,g-h
15618,86289,86289,"Brachypodium pinnatum (L.) P.Beauv., 1812",ccs,g-h
15624,86301,86301,"Brachypodium rupestre (Host) Roem. & Schult., 1817",ccs,g-h
15624,86301,86301,"Brachypodium rupestre (Host) Roem. & Schult., 1817",ccs,g-h
4565,87143,87143,"Buxus sempervirens L., 1753",ccs,n-p
15725,87227,87227,"Calamagrostis epigejos (L.) Roth, 1788",ccs,g-h
15725,87227,87227,"Calamagrostis epigejos (L.) Roth, 1788",ccs,g-h
15735,87275,87275,"Calamagrostis pseudophragmites (Haller f.) Koeler, 1802",ccs,h
15735,87275,87275,"Calamagrostis pseudophragmites (Haller f.) Koeler, 1802",ccs,h
15735,87275,87275,"Calamagrostis pseudophragmites (Haller f.) Koeler, 1802",ccs,h
15735,87275,87275,"Calamagrostis pseudophragmites (Haller f.) Koeler, 1802",ccs,h
15744,132395,132395,Calamagrostis varia (Schrad.) Host subsp. varia,ccs,h
15744,132395,132395,Calamagrostis varia (Schrad.) Host subsp. varia,ccs,h
15744,132395,132395,Calamagrostis varia (Schrad.) Host subsp. varia,ccs,h
15744,87296,87296,"Calamagrostis varia (Schrad.) Host, 1809",ccs,h
15748,87299,87299,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",ccs,h
15748,87299,87299,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",ccs,h
15748,87299,87299,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",ccs,h
15748,87299,87299,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",ccs,h
15748,87299,87299,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",ccs,h
4709,87742,87742,"Campanula trachelium L., 1753",ccs,h
13888,132672,132672,Carex curvula All. subsp. curvula,ccs,h
13924,88504,88504,"Carex ferruginea Scop., 1772",ccs,h
14009,88691,88691,"Carex montana L., 1753",ccs,h
14051,88745,88745,"Carex pairae F.W.Schultz, 1868",ccs,h
14051,88745,88745,"Carex pairae F.W.Schultz, 1868",ccs,h
14051,88745,88745,"Carex pairae F.W.Schultz, 1868",ccs,h
14051,88745,88745,"Carex pairae F.W.Schultz, 1868",ccs,h
14106,88885,88885,"Carex spicata Huds., 1762",ccs,h
14106,88885,88885,"Carex spicata Huds., 1762",ccs,h
14106,88885,88885,"Carex spicata Huds., 1762",ccs,h
1309,89655,89655,"Centaurea nigrescens Willd., 1803",ccs,h
1357,133004,133004,Centaurea scabiosa L. subsp. scabiosa,ccs,h
1357,89697,89697,"Centaurea scabiosa L., 1753",ccs,h
6253,89940,89940,"Cephalaria leucantha (L.) Schrad. ex Roem. & Schult., 1818",ccs,z
6253,89940,89940,"Cephalaria leucantha (L.) Schrad. ex Roem. & Schult., 1818",ccs,z
4981,133087,133087,"Cerastium arvense subsp. strictum (W.D.J.Koch) Gremli, 1878",ccs,c
4981,133087,133087,"Cerastium arvense subsp. strictum (W.D.J.Koch) Gremli, 1878",ccs,c
4981,133087,133087,"Cerastium arvense subsp. strictum (W.D.J.Koch) Gremli, 1878",ccs,c
40153,90278,90278,"Cervaria rivini Gaertn., 1788",ccs,h
40153,90278,90278,"Cervaria rivini Gaertn., 1788",ccs,h
40153,90278,90278,"Cervaria rivini Gaertn., 1788",ccs,h
40153,90278,90278,"Cervaria rivini Gaertn., 1788",ccs,h
293,90335,90335,"Chaerophyllum elegans Gaudin, 1828",ccs,h
293,90335,90335,"Chaerophyllum elegans Gaudin, 1828",ccs,h
294,90338,90338,"Chaerophyllum hirsutum L., 1753",ccs,h
294,90338,90338,"Chaerophyllum hirsutum L., 1753",ccs,h
294,90338,90338,"Chaerophyllum hirsutum L., 1753",ccs,h
302,90359,90359,"Chaerophyllum villarsii W.D.J.Koch, 1837",ccs,h
302,90359,90359,"Chaerophyllum villarsii W.D.J.Koch, 1837",ccs,h
1510,91327,91327,"Cirsium eriophorum (L.) Scop., 1772",ccs,k-t
1514,91328,91328,"Cirsium erisithales (Jacq.) Scop., 1769",ccs,g
1514,91328,91328,"Cirsium erisithales (Jacq.) Scop., 1769",ccs,g
1523,91346,91346,"Cirsium heterophyllum (L.) Hill, 1768",ccs,g
1523,91346,91346,"Cirsium heterophyllum (L.) Hill, 1768",ccs,g
1523,91346,91346,"Cirsium heterophyllum (L.) Hill, 1768",ccs,g
1527,91369,91369,"Cirsium monspessulanum (L.) Hill, 1768",ccs,h
1532,91374,91374,"Cirsium morisianum Rchb.f., 1853",ccs,k-t
1544,91410,91410,"Cirsium spinosissimum (L.) Scop., 1769",ccs,h
1546,91422,91422,"Cirsium tuberosum (L.) All., 1785",ccs,g
1546,91422,91422,"Cirsium tuberosum (L.) All., 1785",ccs,g
1546,91422,91422,"Cirsium tuberosum (L.) All., 1785",ccs,g
1546,91422,91422,"Cirsium tuberosum (L.) All., 1785",ccs,g
5840,91715,91715,"Cistus salviifolius L., 1753",ccs,n-z
5840,91715,91715,"Cistus salviifolius L., 1753",ccs,n-z
5840,91715,91715,"Cistus salviifolius L., 1753",ccs,n-z
5840,91715,91715,"Cistus salviifolius L., 1753",ccs,n-z
10507,91853,91853,"Clematis alpina (L.) Mill., 1768",ccs,n.li
8501,91912,91912,"Clinopodium vulgare L., 1753",ccs,g
13804,92282,92282,"Convallaria majalis L., 1753",ccs,g
40163,92486,92486,"Coristospermum ferulaceum (All.) Reduron, Charpin & Pimenov, 1997",ccs,h
40163,92486,92486,"Coristospermum ferulaceum (All.) Reduron, Charpin & Pimenov, 1997",ccs,h
11102,92876,92876,"Crataegus monogyna Jacq., 1775",ccs,n-p
1589,92996,92996,"Crepis albida Vill., 1779",ccs,h
1602,93027,93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",ccs,h
1602,93027,93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",ccs,h
1602,93027,93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",ccs,h
1602,93027,93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",ccs,h
1602,93027,93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",ccs,h
1615,93101,93101,"Crepis paludosa (L.) Moench, 1794",ccs,h
1615,93101,93101,"Crepis paludosa (L.) Moench, 1794",ccs,h
1615,93101,93101,"Crepis paludosa (L.) Moench, 1794",ccs,h
1622,93116,93116,"Crepis pyrenaica (L.) Greuter, 1970",ccs,h
1622,93116,93116,"Crepis pyrenaica (L.) Greuter, 1970",ccs,h
1622,93116,93116,"Crepis pyrenaica (L.) Greuter, 1970",ccs,h
1622,93116,93116,"Crepis pyrenaica (L.) Greuter, 1970",ccs,h
6848,94092,94092,"Cytisophyllum sessilifolium (L.) O.Lang, 1843",ccs,n
6848,94092,94092,"Cytisophyllum sessilifolium (L.) O.Lang, 1843",ccs,n
6865,94123,94123,"Cytisus hirsutus L., 1753",ccs,z
6865,94123,94123,"Cytisus hirsutus L., 1753",ccs,z
13027,94411,94411,"Daphne alpina L., 1753",ccs,n
13029,94423,94423,"Daphne cneorum L., 1753",ccs,z
13029,94423,94423,"Daphne cneorum L., 1753",ccs,z
13029,94423,94423,"Daphne cneorum L., 1753",ccs,z
13029,94423,94423,"Daphne cneorum L., 1753",ccs,z
13036,94432,94432,"Daphne laureola L., 1753",ccs,n
13039,94435,94435,"Daphne mezereum L., 1753",ccs,n
13043,94449,94449,"Daphne striata Tratt., 1814",ccs,z
13043,94449,94449,"Daphne striata Tratt., 1814",ccs,z
10525,94578,94578,"Delphinium dubium (Rouy & Foucaud) Pawl., 1934",ccs,h
10525,94578,94578,"Delphinium dubium (Rouy & Foucaud) Pawl., 1934",ccs,h
15840,133787,133787,Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa,ccs,h
15840,133787,133787,Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa,ccs,h
15840,133787,133787,Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa,ccs,h
12371,94942,94942,"Digitalis grandiflora Mill., 1768",ccs,g-h
12371,94942,94942,"Digitalis grandiflora Mill., 1768",ccs,g-h
1671,95209,95209,"Doronicum austriacum Jacq., 1774",ccs,g
1675,95215,95215,"Doronicum clusii (All.) Tausch, 1828",ccs,g
1675,95215,95215,"Doronicum clusii (All.) Tausch, 1828",ccs,g
1675,95215,95215,"Doronicum clusii (All.) Tausch, 1828",ccs,g
1680,95225,95225,"Doronicum grandiflorum Lam., 1786",ccs,h
1680,95225,95225,"Doronicum grandiflorum Lam., 1786",ccs,h
1680,95225,95225,"Doronicum grandiflorum Lam., 1786",ccs,h
1680,95225,95225,"Doronicum grandiflorum Lam., 1786",ccs,h
1680,95225,95225,"Doronicum grandiflorum Lam., 1786",ccs,h
