,CD_REF,nom_reconnu,nom_baseflor,pollinisation,dissemination,Source dispersal mode,Commentaire,famille,dispersal_mode,CSR,Comment CSR,Source CSR
68,127219,"Trifolium alpinum L., 1753",Trifolium alpinum L.,entomogame,epizoochore,baseflor Julve,,Fabaceae,NA,css,,
108,198631,"Trifolium L., 1753",,entomogame,epizoochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Fabaceae,NA,NA,,
98,152216,"Trifolium pratense var. villosum DC., 1805",Trifolium pratense var. villosum DC.,entomogame,epizoochore,baseflor Julve,,Fabaceae,NA,NA,,
69,127469,"Trifolium saxatile All., 1773",Trifolium saxatile All.,entomogame,epizoochore,baseflor Julve,,Fabaceae,barochore,NA,,
73,128419,"Valeriana officinalis L., 1753",Valeriana officinalis L.,entomogame,anemochore,baseflor Julve,,Caprifoliaceae,NA,crs,,
74,128445,"Valeriana tripteris L., 1753",Valeriana tripteris L.,entomogame,anemochore,baseflor Julve,,Caprifoliaceae,NA,css,,
75,128520,"Veratrum album L., 1753",Veratrum album L.,entomogame,barochore,baseflor Julve,,Melanthiaceae,NA,ccs,,
77,129527,"Viola calcarata L., 1753",Viola calcarata L.,entomogame,myrmecochore,baseflor Julve,,Violaceae,NA,ccs,,
85,134095,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952",Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher,"entomogame, anemogame",endozoochore,baseflor Julve,,Ericaceae,NA,css,,
1,80183,"Adenostyles alliariae (Gouan) A.Kern., 1871",Adenostyles alliariae (Gouan) A.Kern.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
2,80184,"Adenostyles alpina (L.) Bluff & Fingerh., 1825",Adenostyles alpina (L.) Bluff & Fingerh.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
3,80190,"Adenostyles leucophylla (Willd.) Rchb., 1831",Adenostyles leucophylla (Willd.) Rchb.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
11,83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",Arctostaphylos uva-ursi (L.) Spreng.,"entomogame, autogame",endozoochore,baseflor Julve,repetition!,Ericaceae,NA,ccs,,
12,83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",Arctostaphylos uva-ursi (L.) Spreng.,"entomogame, autogame",endozoochore,baseflor Julve,repetition!,Ericaceae,NA,css,,
81,132515,"Campanula rotundifolia subsp. rotundifolia L., 1753",Campanula rotundifolia L. subsp. rotundifolia,"entomogame, autogame",barochore,baseflor Julve,,Campanulaceae,NA,crs,,
82,132522,"Campanula scheuchzeri subsp. scheuchzeri Vill., 1779",Campanula scheuchzeri Vill.,"entomogame, autogame",barochore,baseflor Julve,,Campanulaceae,NA,crs,,
18,87724,"Campanula scheuchzeri Vill., 1779",Campanula scheuchzeri Vill.,"entomogame, autogame",barochore,baseflor Julve,,Campanulaceae,barochore,NA,,
24,93004,"Crepis aurea (L.) Tausch, 1828",Crepis aurea (L.) Cass.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,anemochore,NA,,
26,96805,"Erigeron schleicheri Gremli, 1886",Erigeron schleicheri Gremli,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
86,134221,"Erigeron uniflorus subsp. uniflorus L., 1753",Erigeron uniflorus L. subsp. uniflorus,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
29,99334,"Galeopsis tetrahit L., 1753",Galeopsis tetrahit L.,"entomogame, autogame",barochore,baseflor Julve,,Lamiaceae,barochore,NA,,
109,610642,"Jacobaea incana (L.) Veldkamp, 2006",Jacobaea incana (L.) Veldkamp,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,NA,,
40,105502,"Leontodon hispidus L., 1753",Leontodon hispidus L.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,anemochore,NA,,
88,137189,"Leontodon hispidus subsp. hispidus L., 1753",Leontodon hispidus L.,"entomogame, autogame",anemochore,baseflor Julve,,Asteraceae,NA,crs,,
41,105765,"Leucanthemopsis alpina (L.) Heywood, 1975",Leucanthemopsis alpina (L.) Heywood,"entomogame, autogame",barochore,baseflor Julve,,Asteraceae,barochore,NA,,
99,159722,"Leucanthemopsis alpina subsp. alpina (L.) Heywood, 1975",Leucanthemopsis alpina (L.) Heywood,"entomogame, autogame",barochore,baseflor Julve,,Asteraceae,NA,NA,,
117,717310,"Micranthes stellaris (L.) Galasso, Banfi & Soldano, 2005","Micranthes stellaris (L.) Galasso, Banfi & Soldano","entomogame, autogame",barochore,baseflor Julve,,Saxifragaceae,NA,NA,,
47,110061,"Omalotheca hoppeana (W.D.J.Koch) Sch.Bip. & F.W.Schultz, 1861",Gnaphalium hoppeanum W.D.J.Koch,"entomogame, autogame",barochore,baseflor Julve,,Asteraceae,anemochore,NA,,
48,110063,"Omalotheca supina (L.) DC., 1838",Gnaphalium supinum L.,"entomogame, autogame",barochore,baseflor Julve,,Asteraceae,anemochore,NA,,
60,119780,"Sagina apetala Ard., 1763",Sagina apetala Ard.,"entomogame, autogame",anemochore,baseflor Julve,,Caryophyllaceae,barochore,NA,,
